news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
58,https://www.nytimes.com/article/what-is-coronavirus.html,The New York Times,1/21/20,"['Knvul Sheikh', 'Roni Caryn Rabin']",The Coronavirus: What Scientists Have Learned So Far,https://static01.nyt.com/images/2020/03/12/science/26VIRUS-EXPLAINER-update1/26VIRUS-EXPLAINER-update1-facebookJumbo.jpg,ABC,100,High,Left,USA,1
1,https://www.npr.org/2020/01/22/798392172/chinese-health-officials-more-die-from-newly-identified-coronavirus,National Public Radio (NPR),2/22/20,['Emily Feng'],Chinese Health Officials: More Die From Newly Identified Coronavirus,https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,Chinese Health Officials: More Die From Newly Identified Coronavirus,100,Very high,Center,USA,1
2,https://www.theverge.com/2020/1/23/21078457/coronavirus-outbreak-china-wuhan-quarantine-who-sars-cdc-symptoms-risk,National Public Radio (NPR),3/23/20,['Nicole Wetsman'],Everything you need to know about the coronavirus,https://cdn.vox-cdn.com/thumbor/a9_Oz7cvSBKyalibjq3yKtypMqc=/0x153:2130x1268/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19581722/VRG_ILLO_1777_AK_vaccine.0.jpg,"Public health experts around the globe are scrambling to understand, track, and contain a new virus that appeared in Wuhan, China, at the beginning of December 2019. 
The US currently has the worst outbreak of any country in the world.",100,High,Left-center,USA,1
44,https://www.worldhealth.net/news/novel-coronavirus-cases-confirmed-be-spreading/,The Verge,3/24/20,[],Novel Coronavirus Cases Confirmed To Be Spreading,https://www.worldhealth.net/media/original_images/virus_breath.jpg,"The first two coronavirus cases in Europe have been detected in France, and a second case has been confirmed in America as China expands its efforts to control its outbreak.",30,Low,Center,USA,0
4,https://www.theverge.com/2020/1/24/21080845/coronavirus-news-wuhan-updates-china-sars-mers-cdc-spread,The Verge,7/24/20,"['Nicole Wetsman', 'Zoe Schiffer', 'Jay Peters', 'Sean OKane', 'Kim Lyons', 'Elizabeth Lopatto', 'Josh Dzieza', 'Nick Statt', 'James Vincent']",Coronavirus disrupts the world: updates on the pandemic,https://cdn.vox-cdn.com/thumbor/t2gt1SmEni4McrANA0ptgYRMJVg=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19933222/acastro_200428_1777_coronavirus_0001.0.jpg,"A new coronavirus appeared in Wuhan, China, at the start of December, and it has since infected millions of people all over the world. In March, the World Health Organization declared that the virus was a pandemic.

Coronaviruses are common in many types of animals and can sometimes jump to humans. In this case, the virus probably originally came from a bat. Two other coronaviruses have infected humans, causing outbreaks of SARS and MERS in 2002 and 2012, respectively.

The illness caused by the new coronavirus, COVID-19, appears to cause fever, cough, and difficulty breathing. Other symptoms include loss of taste and smell and gastrointestinal problems. Some people never display symptoms but could still infect others. The illness appears to be severe in around a quarter of COVID-19 patients, and thousands of people have died from the disease in the US and around the world.

Public health officials are still trying to control raging outbreaks in many countries, and scientists are searching for treatments. As that work continues, businesses are shuttered, hospitals are struggling, and millions of people are staying quarantined for their safety and the safety of others.

Follow all of the updates on this evolving story here.",100,High,Left-center,Egypt,1
5,https://chicago.suntimes.com/2020/1/27/21111134/coronavirus-china-deaths-us-evacuation,Chicago Sun-Times,8/27/20,[],China reports 25 coronavirus deaths; US prepares evacuation,https://cdn.vox-cdn.com/thumbor/XAsdhCTLqw5uzjUQDbx_uF1VRuw=/0x128:1024x664/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19651205/AP20027551280119.jpg,"BEIJING — China on Tuesday reported 25 more deaths from a new viral disease, raising the total to at least 106, as the U.S. government prepared to fly Americans out of the city at the center of the outbreak.

Health authorities in Hubei province, where the coronavirus first was detected in in December, reported 24 deaths and those in Beijing reported the Chinese capital’s first fatality. No national toll was announced, but 81 other deaths had been reported through Monday.

The U.S. Consulate in Wuhan, where authorities cut off most access Jan. 22 in an effort to contain the disease, was preparing to fly its diplomats and some other Americans out of the city. Japan, France and Mongolia and other governments also were preparing evacuations.

China had expanded its already sweeping disease-control efforts by extending the end of this week’s Lunar New Year holiday, the country’s busiest travel season, by three days to Sunday to keep the public at home and reduce the risk infection will spread.

Mongolia closed its vast border with China. Hong Kong and Malaysia announced they were barring entry to visitors from Hubei province. Chinese travel agencies were ordered to cancel group tours nationwide.

U.S. health officials expanded their recommendation for people to avoid non-essential travel to any part of China, rather than just Wuhan and other areas most affected by the outbreak.

On Tuesday, English-proficiency and other tests for students to apply to foreign universities were canceled. Public schools and universities have been ordered to postpone reopening following the Lunar New Year holiday until further notice.

Stock markets around the world were down sharply Monday as investors worried the outbreak could hurt the global economy.

China has confirmed more than 2,700 cases of the new virus, most in Wuhan. More than 40 cases have been confirmed elsewhere in the world. Almost involve Chinese tourists or people who visited Wuhan.

China’s increasingly drastic containment efforts began with the Jan. 22 suspension of plane, train and bus links to Wuhan, a city of 11 million people. That lockdown has expanded to 17 cities with more than 50 million people — the most far-reaching disease-control measures ever imposed.

The epidemic has revived memories of the SARS outbreak that originated in China and killed nearly 800 people. Then, Chinese authorities were criticized for reacting slowly and failing to disclose information. The government has responded more aggressively to the latest outbreak.

Wuhan is building two hospitals, one with 1,500 beds and another with 1,000, for the growing number of patients. The first is scheduled to be finished next week.

The virus is from the coronavirus family that includes the common cold but also more severe illnesses like SARS and Middle East Respiratory Syndrome. The new virus causes cold- and flu-like symptoms, including cough and fever, and in more severe cases, shortness of breath and pneumonia.

The virus is thought to have spread to people from wild animals sold at a market in Wuhan. On Sunday, authorities banned trade in wild animals and urged people to stop eating meat from them.",92.5,High,Left-center,USA,1
68,https://www.worldhealth.net/news/corona-virus-2020-global-pandemic/,WorldHealth.Net,8/28/20,['Carol Petersen'],Corona Virus 2020: A Global Pandemic?,https://www.worldhealth.net/media/original_images/AdobeStock_224323752.jpg,"Article courtesy of: Carol Petersen RPh CNP

Influenza (flu) is defined as an acute, commonly epidemic disease, occurring in several forms, caused by numerous rapidly mutating viral strains and characterized by respiratory symptoms and general prostration. (1) The flu has a major impact on the lungs. Colds start in the nose and upper respiratory tract. Vomiting and diarrhea are assigned to yet another viral family.

Corona Virus

We are currently in the grip of a media frenzy and potential public health disaster. A new type of corona virus has emerged from a large city in China, Wuhan, and the world is bracing for an impact of a major epidemic. We have been here before, however, we have already experienced MERS (Middle East respiratory syndrome) and SARS (severe acute respiratory syndrome) along with the same specter of massive numbers of deaths. Corona viruses are thought to be generally mild and not very virulent. This type of virus is found very commonly in animals. Some now believe that the virus for MERS, SARS and now the Wuhan Virus has somehow unnaturally been transmitted to humans, and humans have now become another vector for this infection.

Western Medicine, Louis Pasteur and Antoine Béchamp

We have developed Western medicine primarily by following the teaching of French chemist Louis Pasteur (1822-1895) and the Germ Theory of Disease. Pasteur believed that diseases were caused by outside pathogens invading the body. Antoine Béchamp a Pasteur contemporary, disagreed. He believed that it was that the condition of the body, the terrain, was the source of illness. A healthy body is dependent upon its acid/base balance; its charge; the amount of toxicity and its nutritional status. Only tissue that is already diseased can harbor organisms that become pathogenic. We are starting to appreciate our complicated relationships with the microbial world as we have begun to explore the wonderful world of our microbiomes. This disease theories of Pasteur have led us to the doctrines of virology and immunology. This evolution began before we learned anything about vitamins, trace minerals and other nutrients. (2)

Vaccinate!

Western medicine is now leaving the world of antibiotics. Antibiotics are failing and have served to create more pathogens that are resistant to antibiotic treatments. Western medicine is now embracing vaccination. And why not? There are untold numbers of microbes and 7.8 billion people on earth to experiment upon. Pharmaceutical companies have more and more vaccines in their pipelines. All they must do is to convince us and our governments that their vaccines are the only thing that saves us from vast epidemics, severe illness and probably death. And not a surprise the Corona virus has already been patented. Even at best, this season’s flu vaccines have already proven to be 70% ineffective. The promise of herd immunity does not hold up with vaccinated populations. (3)

Nine Months to a Corona Vaccine

On January 23, 2020 the company Moderna, Inc announced that it is partnering with the US National Institutes of Health (4) to develop a vaccine to prevent infection by the corona virus within the next 9 months. They promise new technology to address this life-threatening epidemic. Sound good? It might be if vaccinations worked. It might be if organisms didn’t rapidly mutate to new forms as they pass through their vectors. It might be if vaccines didn’t also depend on heavy metals to aggravate the immune system. It might be if animal and human DNA from the viral growth medium weren’t injected into the body without any clue for the long-term consequences. Vaccines do not work.

How is the Flu Deadly?

Most of us have experienced the respiratory illness that is characterized as the flu at some point in our lives. Temperatures rise as it is part of the body’s natural defense mechanism, but not always. There are aches and pains and general malaise and coughing. Most of us take to our beds until we feel better. However, some days after the viral assault, pneumonia (inflammation of the lungs), caused by bacteria can set in. This infection can become life threatening as it spreads, and organ systems become compromised. If someone is already struggling with organ system problems, let’s say with cardiovascular disease, diabetes, or renal issues, this can become the tipping point. The infection can lead to sepsis, a systemic inflammatory response, shutting down organ systems leading to death. Even in young healthy people, this response, also called a cytokine storm, can overwhelm the body.

Back to Antoine Béchamp

This is the other option. We can choose to help our body’s terrain remain in its healthy state, and if we get sick we can choose to return our body to that healthy state rather than embrace warfare on our microbial world and be left with the consequences of the “friendly fire”. The rest of this article will focus on staying well and getting well despite a flu epidemic. Admittedly, it is getting to be more and more difficult. Our water, our air and our food have become compromised like never before in human history.

Basic and Free (or almost)

Wash your hands. We can’t live our lives and avoid contact with other people. However, we can minimize the challenges to our immune system by frequently washing your hands. After the SARS outbreak in 2003, a Toronto epidemiologist related that the installation of numerous handwashing stations and maintaining sanitary protocols stopped the spread of SARS in its tracks. (5)

Plain soap and water will do. You can find alcohol and chemical wipes everywhere, but this is not the best choice as these chemicals strip your skin of their natural oils which also protect you. It’s better to use wipes that have been infused with essential oils. Essential oils have power antiviral activities and can be inhaled and infused. Using a diffuser in public spaces such as schools could cut down viral transmission. This reference holds a long list of the most effective essential oils and herbal remedies. (6)

The So-Called Flu Season.

“...it has been my observation that those patients receiving a Vitamin D injection in the fall have never had a substantial cold or flu during the winter. Interestingly, the dose of a single injection is 400,000 IU (International Units). While that seems a substantial dose, after administering many thousands of injections, I have never seen an example of the Vitamin D levels climbing too high. As a matter of fact, some individuals are so depleted at the intracellular level that they might need 2 or 3 injections over the winter months to preserve optimal levels of vitamin D.” Dr. Dale Guyer, Indianapolis posting in Facebook.

Vitamin D is a primary tool for preventing infection of all kinds. The flu season coincides with the greatest lack of sunshine and the opportunity to create vitamin D in the skin. It is easily supplemented. Optimal levels should be 70-80 ng/ml. Supplementing vitamin D can be preventative. High doses can be used to treat an acute incidence of the flu. (7)

Linus Pauling and Vitamin C

Linus Pauling’s claim to fame was to make vitamin C a household word. He extolled the virtues of vitamin for prevention and treatment for colds and the flu. Vitamin C can be used in smaller doses as prevention and ramped up to bowel tolerance for treatment. In severe cases, a physician may offer even higher doses in an IV treatment to speed recovery from the flu. Using vitamin C in a phospholipid delivery system can also provide higher and effective doses. (8)

Hydrocortisone

Dr. William Jefferies spent his entire career studying hydrocortisone or cortisol. In his 80’s, he made an interesting discovery. After deliberately infecting some volunteer students, he discovered that the virus inhibited the pituitary hormone ACTH which is responsible for the adrenal production of hydrocortisone. That feeling of malaise and the aches and pains and headaches that come with the flu are quickly eradicated by using supplemental hydrocortisone. Practitioners can provide the drug Cortef to be used orally. However, hydrocortisone 1 % cream can be found in drug stores and applied to the skin. To prevent the flu, establish that there are no underlying hydrocortisone deficiencies. Practitioners rely on an Adrenal Stress Index saliva test or morning cortisol in the serum to identify problems. Dr. Jefferies used maintenance doses such as 5 mg of hydrocortisone every 6 hours. In the case of an acute flu, larger doses should be used immediately, and relief is rapid. (9)

Ozone

Antibiotics are starting to fail as mentioned above. But we really don’t have to worry much despite the dire prognostications. Ozone, a gas, which is a very reactive form of oxygen can treat any infection. Ozone treated water can be used in hand washing and cleaning surfaces. Ozonated oils such as olive oil can be gargled if there is a sore throat. You can use ozone in your ears, vaginally, or rectally for a full body treatment. You can also ozonate your bath water. A practitioner can help you with intravenous options if a serious infection has persisted. The American Association of Ozone Therapy is a great resource to learn about ozone. (10)

To Be Continued

We are just scratching the surface so far on all the methods we may use to deter getting an infection and what steps we can take to treat an infection. Humanity has survived on the earth for millions of years. There are multiple modalities, both conventional and traditional that can strengthen the immune system and help prevent infections. We can open the door to rediscover and identify our rich histories of healing modalities. We have choices. We don’t have to rely only on hastily devised, unproven and untested therapies alone.

Don't forget to read the companion article: https://worldhealth.net/news/2020-coronavirus-report/",30,Low,Center,USA,0
7,https://www.worldhealth.net/news/natural-ways-combat-flu-virus-symptoms/,WorldHealth.Net,9/29/20,[],Natural Ways To Combat Flu Virus Symptoms,https://www.worldhealth.net/media/original_images/AdobeStock_223166583.jpeg,"Influenza is caused by a virus, and there are several kinds that can give you the flu. While there is no cure for the flu, there are ways both pharmaceutically and gentler more natural approaches to help soothe flu symptoms that may help to shorten how long you are sick.

It is very important to drink plenty of water and other fluids, especially when you are not well to help your body loosen and get rid of built up mucus and phlegm to clear away. It is also very easy to get dehydrated when you are not feeling well and are not drinking or eating normally. In addition, fever, diarrhea, and vomiting can cause water loss.

To help your body stay hydrated other than drinking water you can also drink coconut water, herbal teas, fresh juice, soups, broths, and consume fresh fruits and vegetables. You will be able to tell if you are drinking enough liquids if you have to urinate frequently, and the colour of your urine is pale yellow or clear. If your urine is deep yellow to amber you may be dehydrated.

If you are a smoker it may be best to refrain from the habit while you are ill as much as possible because it can further irritate your nose, throat, and lungs.

It is also important to get more sleep when you are sick because sleeping helps to boost the immune system which will help your body fight off the virus. If you have plans it is best to cancel those to avoid spreading the virus and to make sleep a priority to help your body get back on your feet.

Warm chicken or beef bone broth is also good to consume to help stay hydrated, it will help to loosen and break up nose/sinus congestion. Bone broth is an excellent source of natural minerals such as potassium and sodium as well as replenishing other nutrients and protein that are important to rebuilding immune cells while you are sick.

Zinc is important for the immune system, it helps the body make germ fighting white blood cells, and research suggests that it may help to ease cold and flu symptoms as well as help the body fight the virus while slowing down how fast it multiplies. Zinc can be supplemented or obtained through diet in sources such as red meat, shellfish, lentils, beans, eggs, dairy, lentils, chickpeas, nuts and seeds.

A salt water gargle can help to soothe a sore throat and clear mucus. Boil water and let cool until at room temperature, add ½ teaspoon of salt to 8 ounces of warm water and gargle at the back of your throat for at least 10-30 seconds to rinse your mouth and throat. Spit out into sink and repeat 2-4 times. Please don’t swallow the salt water, and don’t use on children, they can safely gargle with plain water.

Many herbs carry natural antiviral and antibacterial properties that can help while you are sick. Star anise is the star shaped spice that oseltamivir (Tamiflu) was extracted from traditionally. This has antiviral properties that can be effective against some strains of the flu virus. Other herbs that may help can be brewed into hot herbal green/black teas to help soothe symptoms to mix with star anise include turmeric, ginger, garlic, and cloves. If you would like some sweetness try using honey rather than sugar, for best results try royal jelly which has been shown to have natural antibacterial and antiviral properties. Some natural health stores may even have bagged teas with all of these ingredients already combined together.

Essential oils may help to protect you against certain bacteria and viruses. Tea tree oil has been shown to help combat flu viruses by slowing or stopping the rate at which the virus multiplies; research suggests it works best when used within 2 hours of infection. Adding a few drops of this essential oil to hand soap or lotions can help to stop spread at a common source, and some mouthwashes also include tea tree oil as an ingredient.

Other essential oils and plants that also have natural antivirals and antibiotics include cinnamon oil, peppermint oil, eucalyptus oil, geranium oil, lemon oil, thyme oil, and oregano oil. Be sure to use these oils only as directed, and do not ingest essential oil as many are toxic. Most can be used on the skin after being diluted with a carrier oil such as coconut, olive, or almond oil. Fresh dried herbs and spices can also be added to the mixtures for added benefits.

Essential oils diffused into the air may also help against some strains of viruses and bacteria. However, it is not advised to use this kind of aromatherapy on children, pets, while breastfeeding or during pregnancy.

Flu viruses prefer dry indoor air in which they can survive longer, and spread more easily. Colder outdoor temperatures typically lower humidity, as such using a humidifier in your home and workplace may help to reduce flu viruses in the air.

Steam inhalation therapy uses hot water vapor to help loosen mucus congestion which may help to relieve swelling in the nose/lungs, as well as soothe a dry cough, irritated nose, and chest tightness. It is best to avoid steam from water while it is boiling, and test the temperature before breathing it in to avoid scalding or burning yourself. You can even add a few drops of essential oils or medicated vapor rub to the hot water for added antioxidant, antibacterial, and antiviral benefits.

Having a flu that is affecting your stomach is difficult as it can cause nausea, cramps, diarrhea, and vomiting. During this time only eat small hand sized portions of food at a time, and stick to bland foods that are easier to digest such as bananas, rice, toast, applesauce, crackers, soup, broth, and boiled potatoes. Try to avoid any food that may irritate your stomach and digestion such as caffeine, milk, cheese, spicy food, fatty food, fried foods, and alcohol.

Most flu viruses will typically cause respiratory symptoms such as fever, chills, headache, body aches, runny/stuffy nose, sore throat, dry cough, tiredness, fatigue. Stomach flu viruses cause digestive symptoms such as chills, fever, nausea, vomiting, diarrhea, and cramps.

Sometimes flu viruses can lead to other health complications by triggering other viral or bacterial infections in the ears, lungs, throat and other areas to promote sinusitis, ear infections, encephalitis, bronchitis, and pneumonia. Those who are at an increased risk for such complications include those with other health conditions, adults over the age of 65, and children who are under the age of 5.

If you are sick with a flu virus it might be best to speak with a doctor if you have a chronic condition such as asthma, diabetes, kidney disease, liver disease, epilepsy, sickle cell anemia, heart disease, stroke, or a lung condition.

If you have a fever over 100.4°F/38°C you should see a doctor, and you should seek medical attention if your symptoms are not improving after two weeks. Be sure to see a doctor if you are having trouble breathing, chest pains, chills or sweating, mucus that is an odd colour, blood in mucous, severe cough, or high fever.

Viruses can cause both cold and flu, both infections will give you a fever, and both have similar symptoms the main difference is how bad the symptoms are and how long they last. Flu symptoms are typically sudden and severe, lasting 1-2 weeks. Cold symptoms are generally milder lasting for one week or longer.

Most cases of the flu will not require medical attention, if you are sick, please stay home and rest so that you don’t spread it to other people at work/school. Home remedies can help to reduce symptoms to make you more comfortable and rest more while you are ill, and the rest will have an enormous influence on how quickly you get better.

Quick tip from Dr. Klatz with the scare of this novel coronavirus spreading to boost your immune system make sure that you are getting enough vitamins C and D, as well as selenium, garlic, and liquid iodine to help fight off any cold or flu viruses looking to set up camp in your body.

Be sure to also read the article called “Corona Virus 2020: A Global Pandemic?” written by Carol Petersen RPh CNP for more tips in her editorial.

Also check out this companion article written by Dr. Ron Klatz, who is the president and co-founder of the American Academy of Anti-Aging Medicine (A4M) : https://www.worldhealth.net/news/2020-coronavirus-report/",30,Low,Center,Egypt,0
81,https://www.npr.org/2020/01/30/801107140/trumps-legal-team-shifts-defense-argument-coronavirus-outbreak-pompeo-in-britain,National Public Radio (NPR),10/30/20,[],"Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain",https://media.npr.org/assets/img/2020/01/30/UpFirst_New_Logo_NPR_Small_wide-f01c27b52e6edc22229e2621c6064fe967306656.png?s=1400,"Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain Correction: In this podcast, NPR's Mara Liasson discusses what she says was a question asked by Democrats and answered by Alan Dershowitz. It was actually Republican Sen. Ted Cruz who asked the question. — President Trump's legal team shifted its defense strategy during the first day of questions and answers in the Senate. Will there be more changes today? Meanwhile, Republicans are confident that they will have enough votes to block witnesses from testifying. The number of coronavirus cases has now reached nearly 8,000, with more than a dozen countries reporting at least a few cases. What preparations is the U.S. taking to combat the spread of the virus? Also can the Secretary of State Mike Pompeo persuade Britain to overturn its decision to work with the Chinese tech giant Huawei on its 5G infrastructure?

Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain Listen · 13:07 13:07 Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain 13:07 Up First Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain Trump's Legal Team Shifts Defense Argument, Coronavirus Outbreak, Pompeo In Britain Listen · 13:07 13:07 Correction: In this podcast, NPR's Mara Liasson discusses what she says was a question asked by Democrats and answered by Alan Dershowitz. It was actually Republican Sen. Ted Cruz who asked the question. — President Trump's legal team shifted its defense strategy during the first day of questions and answers in the Senate. Will there be more changes today? Meanwhile, Republicans are confident that they will have enough votes to block witnesses from testifying. The number of coronavirus cases has now reached nearly 8,000, with more than a dozen countries reporting at least a few cases. What preparations is the U.S. taking to combat the spread of the virus? Also can the Secretary of State Mike Pompeo persuade Britain to overturn its decision to work with the Chinese tech giant Huawei on its 5G infrastructure? Correction In this podcast, NPR's Mara Liasson discusses what she says was a question asked by Democrats and answered by Alan Dershowitz. It was actually Republican Sen. Ted Cruz who asked the question. NPR thanks our sponsors Become an NPR sponsor",100,Very high,Center,USA,1
9,https://www.worldhealth.net/news/2020-coronavirus-report/,WorldHealth.Net,11/30/20,['Dr. Ron Klatz'],2020 Coronavirus Report,https://www.worldhealth.net/media/original_images/2020coronasolutionKlatz.jpg,"Article courtesy of: Dr. Ron Klatz M.D., D.O. who is the President/Founder of the American Academy of Anti-Aging Medicine (A4M), best selling author, lecturer, innovator, medical scientist, leading authority on anti-aging and longevity, and advocate for health, happiness, and wellness for all.

The numbers on the image correspond with the numbers in the article body.

1. This epidemic virus spread may be cancelled with a simple and very inexpensive decontamination kit that you can purchase most of the parts for at your local discount dollar shop. The materials mentioned in this article can help to stop infections from spreading by mouth, nose, eyes, ears, and hands by providing a personal protective barrier.

The Low Cost Viral Defense Kit

2. A clear plastic whole face mask can provide protection for your eyes, nose, ears and mouth. These are typically manufactured from plastic materials similar to common plastic bottles. They have a small opening at the mouth hole that allows for easy breathing, and this opening has protection with a respirator like filter to prevent virus inhalation or an antiviral imbedded filter respirator mask material for your safety.

3. Hoody jackets or parkas with hoods that pull tightly around the mask with elastics on the waist and wrist form a seal. These are manufactured with materials that are threaded with both copper and silver threads that kill viruses on contact.

4. Antiviral/anti-infectious gloves contain antiviral solutions bound right into the material. These gloves also have elasticated wrists for protection of hands and reduce the possibility of picking up unwanted germs.

5. Having a simple decontamination kit ready when you arrive at your destination will give you the ability to spray down the gloves, hoody and mask. Once sprayed with the antiviral, which should be packed waiting in a large bucket, store all materials in the container while not in use with a tightly sealed lid.

Infections can’t occur unless they are given an opportunity to penetrate the mucous membrane of the eyes, mouth, and nose. This simple low cost kit will help to reduce the spread of the coronavirus as well as other pathogens to keep the wearer safe.

Five minute PCR diagnostic testing

Airport surveillance for infectious disease is little more than TSA theater.

The coronavirus is reported to have an incubation period of eight days or more which means that an individual would not display symptoms early in the infection, and could transmit the virus to many others around him.

6. A more effective and intelligent means of identifying those at risk to themselves and others would be a rapid PCR test that only requires a swab against the cheek or tongue for a quick analysis within five minutes with an accuracy near 100%. This test and could be easily done prior to boarding and would ensure that no one on board would be transmitting viral particles to other passengers with the costs for such testing being very minimal.

Airlines as incubators

It’s been said that flying for hours with 300 strangers in the cabin is like spending an evening in a sewer pipe.

